001064; 7897705200087;000010;        2.66;
004567; 7896269900150;000200;        0.10;
005408; 7896212478859;000001;        4.96;
009761; 7897337705882;000030;        0.39;
009818; 7897337705837;000005;        0.00;
010063; 7896382700583;000010;        2.66;
010071; 7896382700576;000010;        2.66;
011823; 7896422508643;000030;        0.99;
012112; 7896004710761;000030;        0.51;
013972; 7896206402037;000120;        0.00;
015233; 7896548114124;000005;        0.00;
016598; 7896422503709;000030;        0.19;
018566; 7891317425869;000030;        0.32;
021470; 7896012800836;000008;        0.00;
032617; 7896269900068;000010;        0.88;
034253; 7896004711188;000030;        0.99;
034295; 7896241221853;000030;        0.11;
034350; 7896261004009;000060;        0.25;
034499; 7896012800812;000010;        0.00;
037277; 7898505091349;000021;        0.00;
038922; 7896112435648;000021;        0.00;
040296; 7896241274903;000001;        4.96;
042688; 7891268101782;000001;       12.36;
042824; 7891106905961;000001;        0.00;
043715; 7897076909855;000030;        0.16;
044127; 7896004700533;000030;        0.26;
044266; 7896269900211;000200;        0.13;
044313; 7896004701943;000030;        0.26;
047808; 7898906376144;000030;        0.39;
049648; 7891045008433;000021;        0.00;
054978; 7896004725420;000020;        0.27;
057243; 7896226102641;000004;        0.00;
059025; 7894916206860;000030;        0.51;
060644; 7896012800829;000009;        0.00;
062280; 7891721027468;000030;        0.18;
066404; 7894916501729;000004;        0.00;
066747; 7891721003042;000030;        0.26;
069876; 7896672201059;000200;        0.15;
072691; 7896241293669;000030;        0.26;
072887; 7896004715711;000005;        0.96;
073168; 7896004716176;000030;        0.06;
074562; 7891106904537;000001;       11.31;
076695; 7898040320621;000004;        3.74;
078118; 7896026300216;000020;        0.27;
079928; 7891317437220;000001;       11.31;
082159; 7896012800843;000007;        0.00;
088498; 7896382703317;000006;        2.65;
090762; 7896112110576;000030;        0.08;
092926; 7896004706795;000030;        0.30;
092942; 7894916502900;000001;        0.00;
097544; 7897595603296;000030;        0.26;
098671; 7896181900122;000030;        0.11;
103890; 7896422522571;000030;        0.12;
105363; 7891721016165;000030;        0.99;
108078; 7896112486787;000030;        0.30;
108167; 7896422515535;000030;        0.07;
109317; 7896181905509;000030;        0.12;
112239; 7897316804254;000005;        0.40;
119655; 7896422506342;000030;        0.11;
119697; 7896422514248;000030;        0.39;
120559; 7896382703300;000006;        2.65;
123955; 7896112141280;000020;        0.08;
124503; 7896112126485;000030;        0.16;
125949; 7896226503721;000030;        1.58;
126848; 7896012801888;000008;        0.00;
126856; 7896012801895;000007;        0.00;
140517; 7891058002657;000030;        0.08;
141644; 7896112114185;000030;        0.32;
150431; 7896112126225;000030;        0.39;
152637; 7896004705781;000030;        0.11;
154663; 7896181907077;000005;        0.96;
157213; 7896422507738;000030;        0.32;
157239; 7896422507837;000030;        0.26;
157247; 7896422507844;000030;        0.51;
157920; 7896112147640;000200;        0.10;
158308; 7896241217672;000004;        0.94;
158900; 7896422507943;000030;        0.13;
158926; 7896422507950;000030;        0.16;
158934; 7896422508063;000060;        0.16;
159891; 7891721238246;000060;        0.16;
159998; 7896006290162;000005;        0.00;
163159; 7896181909439;000005;        0.40;
163167; 7896181900900;000030;        0.64;
164456; 7896006234067;000001;        4.19;
166393; 7896181913061;000030;        0.51;
166416; 7896181913627;000030;        0.99;
166547; 7896004709185;000030;        0.16;
166571; 7896004706474;000030;        0.09;
172637; 7891721238239;000060;        0.13;
175368; 7897655402005;000004;        0.00;
176576; 7897595609854;000030;        0.51;
176623; 7896422510288;000030;        0.32;
181262; 7896004709192;000030;        0.13;
182098; 7891317427542;000030;        0.32;
185931; 7897473201071;000200;        0.10;
188036; 7896026302432;000200;        0.06;
190342; 7891317460518;000200;        0.00;
190350; 7891317460532;000120;        0.00;
190863; 7896672202636;000200;        0.13;
191649; 7896422507752;000060;        0.32;
199451; 7896004715308;000002;        3.74;
199469; 7896004715322;000004;        3.74;
201818; 7891721012884;000030;        0.51;
204890; 7896007520169;000008;        0.00;
205781; 7896007520176;000008;        0.00;
208593; 7896181907176;000120;        0.00;
213190; 7896714203737;000021;        0.00;
214617; 7896181915171;000120;        0.00;
215126; 7897705200070;000010;        2.66;
227791; 7896226506388;000060;        1.06;
227806; 7896226506371;000030;        1.06;
240309; 7896181920410;000030;        0.32;
450093; 7896714225753;000005;        0.96;
478635; 7895858005412;000010;        2.66;
496340; 8903855062013;000030;        0.32;
498685; 7896112114413;000020;        0.27;
498805; 7896112116660;000030;        0.28;
498839; 7896112126478;000030;        0.13;
505759; 7896714208565;000030;        0.32;
518833; 7898148299010;000020;        0.27;
518859; 7898148290512;000030;        0.28;
518972; 7898148291298;000030;        0.16;
519009; 7898148291267;000030;        0.12;
519025; 7898148301720;000030;        0.30;
519059; 7899547511031;000030;        0.18;
